id,parent_id,reverse_id,primary,,pl,en,priority,description,,
33,NULL,NULL,,zawieranie_roli,zawieranie roli,role inclusion,,,,
34,32,NULL,,agens,subiekt,agents,agents,1,(dziedziczone),
35,32,NULL,,pacjens,obiekt,patients,patients,2,(dziedziczone),
36,32,NULL,,narzędzie,narzędzia,instruments,3,(dziedziczone),,
37,32,NULL,,miejsce,miejsca,locations,4,(dziedziczone),,
38,32,NULL,,wytwór,rezultat,results,results,5,(dziedziczone),
39,32,NULL,,czas,czas,times,6,(dziedziczone),,
40,32,NULL,,podtyp nieokreślony,nieokreślone,unspecified types,7,(dziedziczone),,
41,33,NULL,,zawieranie agensa,subiektu,agents,agents,1,(dziedziczone),
42,33,NULL,,zawieranie pacjensa,obiektu,patients,patients,2,(dziedziczone),
43,33,NULL,,zawieranie czasu,czasy,times,times,(dziedziczone),,
44,33,NULL,,zawieranie miejsca,miejsca,locations,4,(dziedziczone),,
45,33,NULL,,zawieranie narzędzia,narzędzia,instruments,5,(dziedziczone),,
46,33,NULL,,zawieranie wytworu ,wytwory,results,,6,(dziedziczone),
47,33,NULL,,podtyp nieokreślony,nieokreślone,unspecified types,7,(dziedziczone),,
48,32,NULL,,agens przy niewyrażonym predykacie,agens przy niewyrażonym predykacie,agents with hidden predicate,8,(dziedziczone),,
49,32,NULL,,miejsce przy niewyrażonym predykacie,miejsce przy niewyrażonym predykacie,locations with hidden predicate,9,(dziedziczone),,
50,32,NULL,,wytwór , rezultat przy niewyrażonym predykacie,results with hidden predicate,results with hidden predicate,10,(dziedziczone),
51,NULL,52,,nosiciel_stanu,cechy,bearers of a state ,bearers of a state , property,31,"Relacja służy połączeniu rzeczowników opisujących kogoś lub coś, będących w określonym stanie, przejawiających jakiś stan lub charakterystycznych ze względu na jakąś cechę, z przymiotnikami, które wyrażają stan lub cechę. Rzeczownik jest derywowany od przymiotnika."
52,NULL,51,x,stan,cecha,state ,state , property,30,"Relacja służy połączeniu rzeczowników opisujących kogoś lub coś, będących w określonym stanie, przejawiających jakiś stan lub charakterystycznych ze względu na jakąś cechę, z przymiotnikami, które wyrażają stan lub cechę. Przymiotnik jest bazą derywacyjną dla rzeczownika."
53,NULL,NULL,,żeńskość,nazwy żeńskie,feminine terms,,,,
54,NULL,NULL,,nacechowanie,nacechowanie,markedness,26,"Relacja nacechowania łączy jednostki leksykalne, dla których istnieje związek derywacyjny o charakterze stylistycznym. Należy zwracać szczególną uwagę na to, czy wyrazy łączy związek derywacyjny. Może się zdarzyć, że wyraz o kształcie derywatu jest już zleksykalizowany (i np. synonimiczny lub bliskoznaczny do innego wyrazu).",,
55,54,NULL,,istota młoda,istoty młode,young beings,1,(dziedziczone),,
56,54,NULL,,deminutywność,deminutywy,diminutives,2,(dziedziczone),,
57,54,NULL,,ekspresywność , augmentatywność,augumentatives,augumentatives,3,(dziedziczone),
58,NULL,NULL,,mieszkaniec,mieszkańcy,inhabitants,12,"Relacja wynikająca z derywacji: bycie mieszkańcem/obywatelem jakiegoś kraju, regionu lub miasta. Relacja wiąże synsety, z których przynajmniej dwie jednostki musi wiązać relacja derywacyjna (po jednym z każdego).",,
59,NULL,NULL,,derywacyjność,derywatywy,derivatives,35,Derywaty synchroniczne reprezentujące procesy mniej regularne łączymy z podstawami słowotwórczymi relacją derywacyjności.,,
60,NULL,60,,bliskoznaczność,bliskoznaczne z,inter-register synonyms,11,"Jeśli dwa leksemy -- kandydaci na parę synonimów -- są opisane w słowniku jako synonimy, ale: nie łączy ich hiperonimia wzajemna, albo nie mają wspólnego hiperonimu, albo nie są meronimami tego samego synsetu, albo nie są hiperonimami tego samego zbioru synsetów, to nazwiemy je wyrazami bliskoznacznymi. Bliskoznaczność można też rozpoznać po kontekstowej wymienności badanych jednostek leksykalnych.",,
61,NULL,NULL,,synonimia_międzyparadygmatyczna,synonimy międzyparadygmatyczne,cross-categorial synonyms,25,"O synonimii międzyparadygmatycznej mówimy, gdy to samo znaczenie reprezentują co najmniej dwa leksemy należące do różnych klas gramatycznych. Są to tzw. derywaty transpozycyjne.",,
62,61,141,,synonimia międzyparadygmatyczna N-V,N-V,Noun-Verb,1,(dziedziczone),,
63,61,142,,synonimia międzyparadygmatyczna N-ADJ,N-Adj,Noun-Adjective,2,(dziedziczone),,
64,14,65,,element taksonomiczny,taksonomiczne,taxonomic,6,(dziedziczone),,
65,15,64,,element taksonomiczny,taksonomiczne,taxonomic,6,(dziedziczone),,
73,NULL,NULL,,aspektowość,aspekt,aspects,,,,
74,73,75,,aspektowość czysta DK-NDK,aspektowość czysta DK-NDK,pure Perfectives-Imperfectives,1,(dziedziczone),,
75,73,74,,aspektowość czysta NDK-DK,aspektowość czysta NDK-DK,pure Imperfectives-Perfectives,2,(dziedziczone),,
80,NULL,NULL,,kauzacja,kauzacja,causes,13,"Czasownik kauzujący można sparafrazować za pomocą wyrażenia '(s)powodować, że...'. Relacją tą łączymy czasowniki z czasownikami, przymiotnikami i rzeczownikami.",,
86,NULL,NULL,,procesywność,procesywność,processualities,14,"Czasownik procesywny można sparafrazować za pomocą wyrażenia 'stawać się jakimś, czymś'. Relacja ta łączy czasowniki z przymiotnikami i rzeczownikami.",,
89,86,NULL,,procesywność V_NDK-Adj,procesywność V_NDK-Adj,Imperfective_Verb-Adjective,1,(dziedziczone),,
90,86,NULL,,procesywność V_NDK-N,procesywność V_NDK-N,Imperfective_Verb-Noun,2,(dziedziczone),,
91,NULL,NULL,,stanowość,stanowość,states,15,"Stanowość to relacja łącząca czasowniki stanowe z przymiotnikami cechującymi ten stan. Taki czasownik stanowy może być sparafrazowany za pomocą wyrażenia 'być jakimś, kimś|czymś'",,
92,91,NULL,,stanowość V-Adj,stanowość V-Adj,Verb-Adjective  ,1,(dziedziczone),,
93,91,NULL,,stanowość V-N,stanowość V-N,Verb-Noun,2,(dziedziczone),,
101,12,101,,antonimia komplementarna,antonimia komplementarna,complementary antonyms,2,(dziedziczone),,
102,12,NULL,,forma kanoniczna,kanoniczne,canonic forms,3,(dziedziczone),,
104,12,104,,antonimia właściwa,antonimia właściwa,proper antonyms,1,(dziedziczone),,
106,NULL,107,x,typ,przykłady,types,,,,
107,NULL,106,,egzemplarz,typy,instances,,,,
108,NULL,108,,fuzzynimia_synsetów,fuzzynimy synsetów,synset fuzzynyms,,,,
110,73,111,,aspektowość wtórna DK-NDK,aspektowość wtórna DK-NDK,secondary aspectualities  perfective- imperfective,3,(dziedziczone),,
111,73,110,,aspektowość wtórna NDK-DK,aspektowość wtórna NDK-DK,secondary aspectualities imperfective-perfective,4,(dziedziczone),,
112,NULL,NULL,,meronimia_czasownikowa,meronimia_czasownikowa,verbal meronyms,7,,,
113,112,116,,meronimia podsytuacji,podsytuacja,meronyms of subsituation,1,(dziedziczone),,
114,112,117,,meronimia sytuacji towarzyszącej,sytuacja towarzysząca,meronyms of accompanying situation,2,(dziedziczone),,
115,NULL,NULL,,holonimia_czasownikowa,holonimy czasownikowe,verbal holonyms,9,,,
116,115,113,,holonimia podsytuacji,podsytuacja,holonyms of subsituation,1,(dziedziczone),,
117,115,114,,holonimia sytuacji towarzyszącej,sytuacja towarzysząca,holonyms of accompanying situation,2,(dziedziczone),,
118,86,NULL,,procesywność V_DK-Adj,procesywność V_DK-Adj,Verb_Perfective-Adjective,3,(dziedziczone),,
119,86,NULL,,procesywność V_DK-N,procesywność V_DK-N,Verb_Perfective-Noun,4,(dziedziczone),,
120,80,NULL,,kauzacja NDK-NDK,kauzacja NDK-NDK,causes Imperfective-Imperfecticve,1,(dziedziczone),,
121,80,NULL,,kauzacja DK-DK,kauzacja DK-DK,causes Perfective-Perfective,2,(dziedziczone),,
122,80,NULL,,kauzacja stanu DK-NDK,kauzacja stanu DK-NDK,Perfective-Imperfective,3,(dziedziczone),,
124,80,NULL,,kauzacja procesu DK-Adj,kauzacja procesu DK-Adj,Perfective-Adjective,4,(dziedziczone),,
125,80,NULL,,kauzacja procesu DK-N,kauzacja procesu DK-N,Perfective-Noun,5,(dziedziczone),,
126,80,NULL,,kauzacja procesu NDK-Adj,kauzacja procesu NDK-Adj,Imperfective-Adjective,6,(dziedziczone),,
127,80,NULL,,kauzacja procesu NDK-N,kauzacja procesu NDK-N,Imperfective-Noun,7,(dziedziczone),,
128,NULL,NULL,,inchoatywność,inchoatywność,inchoative meanings,17,,,
129,128,NULL,,inchoatywność DK-NDK,inchoatywność DK-NDK,Perfective-Imperfective,1,(dziedziczone),,
130,128,NULL,,inchoatywność NDK-NDK,inchoatywność NDK-NDK,Imperfective-Imperfective,2,(dziedziczone),,
131,NULL,NULL,,zwrotność,zwrotność,reflexive meanings,33,,,
132,NULL,NULL,,wzajemność,wzajemność,reciprocal meanings,32,,,
133,NULL,NULL,,wielokrotność,wielokrotność,multiplicative meanings,16,,,
134,133,NULL,,iteratywność NDK-NDK,iteratywność NDK-NDK,iteratives Imperfective-Imperfective,1,(dziedziczone),,
136,133,NULL,,dystrybutywność,dystrybutywność,distributive,2,(dziedziczone),,
137,NULL,NULL,,presupozycja,presupozycja,presuppositionals,18,,,
138,NULL,NULL,,uprzedniość,uprzedniość,precedings,19,,,
140,133,NULL,,iteratywność NDK-DK,iteratywność NDK-DK,itteratives Imperfective-Perfective,3,(dziedziczone),,
141,61,62,,synonimia międzyparadygmatyczna V-N,synonimia międzyparadygmatyczna V-N,Verb-Noun,3,(dziedziczone),,
142,61,63,,synonimia międzyparadygmatyczna ADJ-N,synonimia międzyparadygmatyczna ADJ-N,Adjective-Noun,4,(dziedziczone),,
143,61,144,,synonimia międzyparadygmatyczna V-Pact,V-Pact,Verb-Adjective Imperfective Participle,5,(dziedziczone),,
144,61,143,,synonimia międzyparadygmatyczna Pact-V,synonimia międzyparadygmatyczna Pact-V,Adjective Imperfective Participle-Verb,6,(dziedziczone),,
145,NULL,NULL,,wartość_cechy,wartości cechy,values of the attribute,3,Relacją wartość cechy łączymy przymiotniki oznaczające jakiś stopień natężenia cechy wyrażonej rzeczownikiem.,,
146,NULL,NULL,,określnik,określniki,modifiers,,,,
147,NULL,NULL,,gradacyjność,stopnie,gradations,4,Gradacyjnością łączymy różne stopnie intensywności tej samej cechy. Relacją tą łączymy tylko najbliższe stopnie natężenia cechy.,,
148,NULL,NULL,,podobieństwo,podobieństwo,similititudinal meanings,36,"Relacją tą łączymy przymiotnik odrzeczownikowy z jego bazą słowotwórczą, jeśli przymiotnik jest jakościowy i przypomina byt wyrażony rzeczownikiem pod jakimś względem.",,
149,NULL,NULL,,charakteryzowanie,charakteryzowanie,characterizing meanings,37,Relacją tą łączymy te odrzeczownikowe przymiotniki jakościowe z ich podstawami słowotórczymi.,,
150,NULL,NULL,,stopniowanie,stopniowanie,degrees,38,Syntetyczne formy stopnia wyższego i najwyższego uznajemy za osobne jednostki leksykalne,,
151,150,NULL,,stopień wyższy,stopień wyższy,comparatives,2,(dziedziczone),,
152,150,NULL,,stopień najwyższy,stopień najwyższy,superlatives,3,(dziedziczone),,
153,NULL,NULL,,rola Adj-V,role Adj-V,roles Adjective-Verbs,39,,,
154,153,NULL,,agens,agensi,agents,2,(dziedziczone),,
155,153,NULL,,pacjens,obiekty,patients,3,(dziedziczone),,
156,153,NULL,,instrument,instrumenty,instruments,4,(dziedziczone),,
157,153,NULL,,miejsce,miejsca,locations,5,(dziedziczone),,
158,153,NULL,,czas,czasy,times,6,(dziedziczone),,
160,153,NULL,,rezultat,rezultaty,results,7,(dziedziczone),,
161,153,NULL,,kauzacja,kauzacja,causes,8,(dziedziczone),,
162,NULL,NULL,,predyspozycyjność,predyspozycyjność,predispositional meanings,40,,,
163,162,NULL,,potencjalność,potencjalność,potential ,2,(dziedziczone),,
164,162,NULL,,habitualność,habitualność,habitual,3,(dziedziczone),,
165,162,NULL,,kwantytatywność,kwantytatywność,quantitative,4,(dziedziczone),,
166,162,NULL,,ocena,ocena,evaluations,5,(dziedziczone),,
168,NULL,NULL,,nacechowanie-intensywność Adj-Adj,nacechowanie-intensywność Adj-Adj,markedness of intensity,41,,,
169,61,NULL,,synonimia międzyparadygmatyczna dla relacyjnych,relacyjne,relational,7,(dziedziczone),,
170,NULL,NULL,,Antonym,antonimy,antonyms,49,Opis,,
171,NULL,173,,Hypernym,hiperonimy,hypernyms,50,Opis,,
172,NULL,NULL,,Instance_Hypernym,instancje,instances,51,Opis,,
173,NULL,171,x,Hyponym,hiponimy,Hyponyms,52,Opis,,
174,NULL,172,,Instance_Hyponym,instancje,instances,53,Opis,,
175,NULL,NULL,,Member_holonym,Holonimy (element kolekcji),members,54,Opis,,
176,NULL,NULL,,Substance_holonym,Holonimy (substancja),substances,55,Opis,,
177,NULL,NULL,,Part_holonym,Holonimy (część),holonyms (parts),56,Opis,,
178,NULL,NULL,,Member_meronym,meronimy (element kolekcji),meronyms (members),57,Opis,,
179,NULL,NULL,,Substance_meronym,meronimy (substancja),meronyms (substances),58,Opis,,
180,NULL,NULL,,Part_meronym,Meronimy (część),meronyms (parts),59,Opis,,
181,NULL,NULL,,Attribute,atrybuty,attributes,60,Opis,,
182,NULL,NULL,,Derivationally related form,derywratywy,derivationally related forms,61,Opis,,
183,NULL,184,,Domain_of_synset_-_TOPIC,domena synsetu (temat),synset domains (topic),62,Opis,,
184,NULL,183,x,Member_of_this_domain_-_TOPIC,element domeny (temat),Member_of_this_domain_-_TOPIC,63,Opis,,
185,NULL,186,,Domain_of_synset_-_REGION,domena synsetu (region),synset domains (region),64,Opis,,
186,NULL,185,x,Member_of_this_domain_-_REGION,element domeny (region),Member_of_this_domain_-_REGION,65,Opis,,
187,NULL,188,,Domain_of_synset_-_USAGE,domena synsetu (użycie),synset domains (usage),67,Opis,,
188,NULL,187,x,Member_of_this_domain_-_USAGE,element domeny (użycie),Member_of_this_domain_-_USAGE,68,Opis,,
189,NULL,NULL,,Entailment,zawieranie,entailments,69,Opis,,
190,NULL,NULL,,Cause,powód,causations,70,Opis,,
191,NULL,NULL,,Also see,zobacz też,see also,71,Opis,,
192,NULL,NULL,,Verb_Group,grupa czasownikowa,verb groups,72,Opis,,
193,NULL,193,,Similar_to,podobieństwo,similar,73,Opis,,
194,NULL,193,x,Participle of verb,imiesłowy czasownikowe,Participle of verb,74,Opis,,
195,NULL,NULL,,Pertainym (pertains to noun),perteinimy,pertainyms,75,Opis,,
197,NULL,199,x,hiponimia_międzyjęzykowa,hiponimy międzyjęzykowe,Inter-lingual hyponyms,43,,,
198,NULL,NULL,,synonimia_międzyjęzykowa,synonimy międzyjęzykowe,Inter-lingual synonyms,42,,,
199,NULL,197,,hiperonimia_międzyjęzykowa,hiperonimy międzyjęzykowe,Inter-lingual hypernyms,44,,,
200,NULL,NULL,,meronimia_międzyjęzykowa,meronimy międzyjęzykowe,Inter-lingual meronyms,45,,,
201,200,217,,mczęść_plWN-PWN,części,parts,2,(dziedziczone),,
202,200,218,,melement_plWN-PWN,elementy,elements,4,(dziedziczone),,
203,200,219,,mmateriał_plWN-PWN,materiały,materials,6,(dziedziczone),,
204,NULL,NULL,,holonimia_międzyjęzykowa,holonimy międzyjęzykowe,Inter-lingual holonyms,46,,,
205,204,214,,hczęść_plWN-PWN,części,parts,2,(dziedziczone),,
206,204,215,,helement_plWN-PWN,elementy,elements,4,(dziedziczone),,
207,204,216,,hmateriał_plWN-PWN,materiały,materials,6,(dziedziczone),,
208,198,209,,Syn_plWN-PWN,,,2,(dziedziczone),,
209,198,208,,Syn_PWN-plWN,,,3,(dziedziczone),,
210,197,213,,Hipo_plWN-PWN,,,2,(dziedziczone),,
211,197,212,,Hipo_PWN-plWN,,,3,(dziedziczone),,
212,199,211,,Hiper_plWN-PWN,,,2,(dziedziczone),,
213,199,210,,Hiper_PWN-plWN,,,3,(dziedziczone),,
214,200,205,,mczęść_PWN-plWN,,,3,(dziedziczone),,
215,200,206,,melement_PWN-plWN,elementy,elements,5,(dziedziczone),,
216,200,207,,mmateriał_PWN-plWN,materiały,materials,7,(dziedziczone),,
217,204,201,,hczęść_PWN-plWN,części,parts,3,(dziedziczone),,
218,204,202,,helement_PWN-plWN,elementy,elements,5,(dziedziczone),,
219,204,203,,hmateriał_PWN-plWN,materiały,materials,7,(dziedziczone),,
3004,NULL,NULL,,międzyjęzykowa_synonimia_częściowa,międzyjęzykowe synonymy częściowe,Inter-lingual partial synonyms,47,,,
3005,3004,3006,,międzyjęzykowa_synonimia_częściowa_plWN-PWN,,,2,(dziedziczone),,
3006,3004,3005,,międzyjęzykowa_synonimia_częściowa_PWN-plWN,,,3,(dziedziczone),,
227,NULL,NULL,,międzyjęzykowa_synonimia_międzyrejestrowa,międzyjęzykowe synonimy międzyrejestrowe,Inter-lingual inter-register synonyms,48,,,
228,227,229,,międzyjęzykowa_synonimia_międzyrejestrowa_plWN-PWN,,,2,(dziedziczone),,
229,227,228,,międzyjęzykowa_synonimia_międzyrejestrowa_PWN-plWN,,,3,(dziedziczone),,
230,NULL,NULL,,sumo_instance,SUMO instances,SUMO instances,77,,,
232,NULL,NULL,,międzyjęzykowa synonimia międzyparadygmatyczna,międzyjęzykowe synonimy międzyparadygmatyczne,Inter-lingual cross-categorial synonyms,,,,
235,232,NULL,,międzyjęzykowa_synonimia_międzyparadygmatyczna_made_of_plWN-PWN,wykonany z,made of,,,,
238,232,NULL,,międzyjęzykowa_synonimia_międzyparadygmatyczna_resembling_plWN-PWN,przypominający,resembling,,,,
239,232,NULL,,międzyjęzykowa_synonimia_międzyparadygmatyczna_related_to_plWN-PWN,związany z,related to,,,,
242,NULL,NULL,,rola: materiał,rola: materiał,tole: material,10,łączącą przymiotniki materiałowe z ich podstawami rzeczownikowymi nazwami substancji i materiałów.,,
244,61,NULL,,synonimia międzyparadygmatyczna ADV-ADJ,Adv-Adj,Adv-Adj,11,(dziedziczone),,
3000,NULL,NULL,,equivalent,SUMO ekwiwalent,SUMO equivalent,12,rzeczownik,,
3001,NULL,NULL,,subsumed,SUMO subsumed,SUMO subsumed,13,rzeczownik,,
3002,NULL,NULL,,instance_of,SUMO instancja,SUMO Instance of,14,rzeczownik,,
